,embedding,rnn,fc
0,0.2416791135677051,0.031374548114953694,0.12633485465913433
1,0.2339670679422185,0.024863988424546603,0.12550386416575338
2,0.2207987503713916,0.027737429416860457,0.1662819530005571
3,0.20239469478939817,0.03106324807191715,0.1795696877146457
4,0.21601357066995713,0.035348142795142715,0.1885712716350226
5,0.23863405517940958,0.039534234607035056,0.1953375380299172
6,0.26048260989017363,0.04397764402913442,0.2012818238055374
7,0.27849494859446083,0.047595294375444346,0.2048716368357037
8,0.29398931479935564,0.05090860593260783,0.2061892892803395
9,0.30728130101116463,0.053581234535373196,0.20623414900446693
10,0.317249659269918,0.05628100517266898,0.20520921686957042
11,0.3230695498692417,0.05822616126733999,0.2041337861878773
12,0.32723892740417254,0.06017757912255889,0.20229155948898028
13,0.33209550719073766,0.06180708046990353,0.20055104333777224
14,0.3369332876332983,0.06370568324661281,0.19943783424518124
